Nombre,Handle de Codeforces,Rating de Codeforces,Ranking IOI 2019,Ranking IOI 2020,Ranking IOI 2021,Ranking IOI 2022,Ranking IOI 2023,Ranking IOI 2024,Pais
Raed Naseer,TorresianCrow,1307,,,,5.44,19.71,15.30,Jordan
Francis José Rodríguez Ronda,SN0WM4N,1609,,,,,,15.01,Cuba
Roberto Josué Polanco Hernández,N/A,N/A,,,,,,14.73,El Salvador
Eva Sóllilja Einarsdóttir,N/A,N/A,,,,,,14.45,Iceland
Albara Abdulhafith,Albara_Abdulhafith,1455,,,,,,14.16,Libya
Fionn Kimber O'Shea,fionnkimberoshea,1381,,,,,7.43,13.88,Ireland
Oscar José Pleités Lemus,osplei,1414,,,,,4.57,13.60,El Salvador
Miguel Pereira,N/A,N/A,,,,,,13.31,Portugal
Atas Lapenas,N/A,N/A,,,,,,13.03,Norway
Fabrizio Lautaro Brandellero,FabriATK,1204,,,,,,12.75,Argentina
Abdallah Sherbini,N/A,N/A,,,,,,12.46,Palestine
Baldwin Huang,baldwinhuang1,1173,,,,,,12.18,Dominican Republic
Samuel Leber,Servant_of_the_Lord,1409,,,,,,11.90,Germany
Shamir Leonardo Terán Mustafá,shezitt,1630,,,,2.29,12.29,11.61,Bolivia
Hlib Zabudko,N/A,N/A,,,,,11.14,11.33,Luxembourg
Halymmuhammet Annageldyyev,halym2007,1470,,,,,4.29,11.05,Turkmenistan
Maité Morales Carreras,Maite_Morales,1599,,,,,,11.05,Cuba
Han Yang,TKTO,1378,,,,,,10.48,Chile
Aleksander Emil Moltu,N/A,N/A,,,,,,10.20,Norway
Simón Martínez,MartinezMiners,1039,,,,,,9.92,Colombia
Þórhallur Tryggvason,N/A,N/A,,,,,,9.63,Iceland
Lucas Kuunders,Increedible,N/A,,,,,,9.35,Netherlands
Aybak Samiz,Aybak,920,,,,,,9.07,Jordan
Anri Esoev,Ansori,1965,,,,,,8.78,Tajikistan
Francisco Pinhao,FranciscoPinhao,1266,,,,,,8.50,Chile
Juan José Läderach,SpecterByte,1598,,,,,,8.22,Argentina
Malik Sadaqa,Rayo,2118,,,5.70,7.45,38.00,7.93,Jordan
Hojamuhammet Hydyrov,Hojamuhammet,1405,,,,,,7.65,Turkmenistan
Sami Almajali,samsoom,1493,,,,,,7.37,Jordan
Rubdary Valentina Rojas Linarez,N/A,N/A,,,1.99,7.74,14.00,7.08,Venezuela
Tom Philippe Roth,N/A,N/A,,,,,,6.80,Luxembourg
Balsa Radulovic,N/A,N/A,,,,,,6.52,Montenegro
Mohammed Cherki,Medeali,1407,,,,,,6.52,Morocco
Belcar Santiago Cuentas-Zavala Infante,oculars_focuses,N/A,,,,,24.57,5.95,Colombia
Agustin Leonardo Arnez Alcocer,aguss,1279,,,,,,5.67,Bolivia
Didar Choganov,champ.,1239,,,,,2.29,5.38,Turkmenistan
Arben Kryemadhi,N/A,N/A,,,,,,5.10,Albania
Juan David Onofre Florián,juan_o_182,1030,,,,,3.71,4.82,Colombia
Raphael Le Goaller,N/A,N/A,,,,,,4.53,Luxembourg
Mateo Neira,N/A,N/A,,,,,,4.25,Ecuador
Andrew Batista García,enderr,986,,,,,,3.97,Dominican Republic
Shuyang Feng,N/A,N/A,,,,,,3.68,Ireland
Roberto Valverde Abad,N/A,N/A,,,,,2.29,3.40,Ecuador
Adriano Augusto Hernández Rodríguez,Adriano4fk,924,,,,,,3.12,Dominican Republic
Ahmed Albakoush,ahmed1611,734,,,,,,3.12,Libya
Fadel Elsenusi,adelelsenusi,984,,,,,,3.12,Libya
Assil Abderrezak Boukhnoufa,gok_usan,572,,,,,,2.27,Algeria
Rubin Bekteshi,N/A,N/A,,,,,,1.98,Albania
Mohammed Hachem,DriciHachem,N/A,,,,,,1.70,Algeria
Steven Mera,N/A,N/A,,,,1.15,2.29,1.42,Ecuador
Blendi Avdolli,N/A,N/A,,,,,,1.13,Albania
Mathías Rivera,N/A,N/A,,,,,,1.13,Ecuador
Nzubechukwu Chendo,N/A,N/A,,,,,,1.13,Nigeria
